,yr,mth,wal,PRIME
0,2000,1,4.92,9.0
1,2000,2,5.35,8.75
2,2000,3,4.66,9.0
3,2000,4,4.77,9.5
4,2000,5,4.49,9.5
5,2000,6,4.69,
6,2000,7,4.68,
7,2000,8,4.46,
8,2000,9,4.58,
9,2000,10,4.47,
10,2000,11,4.42,
11,2000,12,4.37,
12,2001,1,4.59,9.0
13,2001,2,4.82,8.5
14,2001,3,4.6,8.0
15,2001,4,4.58,7.5
16,2001,5,4.58,7.0
17,2001,6,4.43,6.75
18,2001,7,4.67,6.5
19,2001,8,4.61,6.5
20,2001,9,4.39,6.0
21,2001,10,4.53,5.5
22,2001,11,4.73,5.0
23,2001,12,4.73,4.75
24,2002,1,4.83,4.25
25,2002,2,4.57,4.25
26,2002,3,4.58,4.25
27,2002,4,4.62,4.25
28,2002,5,4.57,4.25
29,2002,6,4.84,4.25
30,2002,7,4.4,4.25
31,2002,8,4.69,4.25
32,2002,9,4.43,4.25
33,2002,10,4.62,4.25
34,2002,11,4.78,4.25
35,2002,12,4.58,
36,2003,1,4.58,4.0
37,2003,2,4.49,4.0
38,2003,3,4.76,4.0
39,2003,4,4.58,4.0
40,2003,5,4.74,4.0
41,2003,6,4.61,4.0
42,2003,7,4.53,
43,2003,8,4.69,
44,2003,9,4.7,
45,2003,10,4.65,
46,2003,11,4.5,
47,2003,12,4.68,
48,2004,1,4.93,4.25
49,2004,2,4.65,4.25
50,2004,3,4.78,4.25
51,2004,4,4.76,4.25
52,2004,5,4.88,4.25
53,2004,6,4.83,4.25
54,2004,7,4.64,4.25
55,2004,8,4.59,4.5
56,2004,9,4.66,4.75
57,2004,10,4.91,5.0
58,2004,11,4.59,5.0
59,2004,12,4.98,5.25
60,2005,1,5.03,5.5
61,2005,2,4.96,5.5
62,2005,3,4.71,5.75
63,2005,4,5.0,6.0
64,2005,5,4.96,6.0
65,2005,6,5.0,6.25
66,2005,7,4.76,6.5
67,2005,8,5.07,6.5
68,2005,9,5.19,6.75
69,2005,10,4.95,7.0
70,2005,11,5.02,7.0
71,2005,12,5.16,7.25
72,2006,1,5.57,7.5
73,2006,2,5.17,7.75
74,2006,3,4.96,7.75
75,2006,4,5.09,8.0
76,2006,5,5.09,8.0
77,2006,6,5.02,8.25
78,2006,7,5.01,
79,2006,8,4.9,
80,2006,9,4.82,
81,2006,10,4.89,
82,2006,11,5.12,
83,2006,12,5.08,
84,2007,1,5.25,7.75
85,2007,2,5.16,7.75
86,2007,3,5.19,7.75
87,2007,4,5.28,7.75
88,2007,5,5.12,7.75
89,2007,6,5.06,7.75
90,2007,7,4.87,7.75
91,2007,8,5.08,7.75
92,2007,9,5.09,7.75
93,2007,10,5.43,7.5
94,2007,11,5.0,7.25
95,2007,12,4.66,7.25
96,2008,1,5.64,6.0
97,2008,2,5.17,5.25
98,2008,3,5.32,5.25
99,2008,4,5.29,5.0
100,2008,5,5.32,4.0
101,2008,6,5.48,4.0
102,2008,7,5.56,4.0
103,2008,8,5.61,4.0
104,2008,9,5.6,4.0
105,2008,10,5.86,4.0
106,2008,11,5.62,3.25
107,2008,12,5.57,3.25
108,2009,1,5.65,
109,2009,2,5.77,
110,2009,3,5.77,
111,2009,4,5.7,
112,2009,5,5.63,
113,2009,6,5.48,
114,2009,7,5.83,
115,2009,8,5.79,
116,2009,9,5.33,
117,2009,10,5.64,
118,2009,11,5.38,
119,2009,12,5.27,
120,2010,1,5.95,
121,2010,2,5.5,
122,2010,3,5.51,
123,2010,4,5.55,
124,2010,5,5.22,
125,2010,6,5.66,
126,2010,7,5.52,
127,2010,8,5.38,
128,2010,9,5.72,
129,2010,10,5.32,
130,2010,11,5.68,
131,2010,12,5.26,
