DATE,PRIME
8/4/1955,3.25
10/14/1955,3.5
4/13/1956,3.75
8/21/1956,4
8/6/1957,4.5
1/22/1958,4
4/21/1958,3.5
9/11/1958,4
5/18/1959,4.5
9/1/1959,5
8/23/1960,4.5
12/6/1965,5
3/10/1966,5.5
6/29/1966,5.75
8/16/1966,6
1/26/1967,5.75
3/27/1967,5.5
11/20/1967,6
4/19/1968,6.5
9/25/1968,6.25
12/2/1968,6.5
12/18/1968,6.75
1/7/1969,7
3/17/1969,7.5
6/9/1969,8.5
3/25/1970,8
9/21/1970,7.5
11/12/1970,7.25
11/23/1970,7
12/22/1970,6.75
1/6/1971,6.5
1/15/1971,6.25
1/18/1971,6
2/16/1971,5.75
3/11/1971,5.5
3/19/1971,5.25
4/23/1971,5.5
7/7/1971,6
10/20/1971,5.75
11/8/1971,5.5
12/17/1971,5.25
1/3/1972,5
1/18/1972,4.75
2/16/1972,4.5
3/20/1972,4.75
3/31/1972,5
6/27/1972,5.25
8/29/1972,5.5
10/3/1972,5.75
12/27/1972,6
2/27/1973,6.25
3/26/1973,6.5
4/19/1973,6.75
5/7/1973,7
5/25/1973,7.25
6/7/1973,7.5
6/22/1973,7.75
7/2/1973,8
7/9/1973,8.25
7/18/1973,8.5
7/30/1973,8.75
8/6/1973,9
8/13/1973,9.25
8/21/1973,9.5
8/28/1973,9.75
9/18/1973,10
10/23/1973,9.75
10/29/1973,9.5
12/3/1973,9.75
1/29/1974,9.5
2/11/1974,9.25
2/19/1974,9
2/25/1974,8.75
3/22/1974,9
4/1/1974,9.25
4/4/1974,9.5
4/8/1974,9.75
4/11/1974,10
4/22/1974,10.25
4/25/1974,10.5
5/2/1974,10.75
5/7/1974,11
5/10/1974,11.25
5/17/1974,11.5
6/27/1974,11.75
7/8/1974,12
10/8/1974,11.75
10/22/1974,11.25
11/6/1974,11
11/13/1974,10.75
11/25/1974,10.25
1/13/1975,10
1/28/1975,9.5
2/3/1975,9
2/18/1975,8.75
2/24/1975,8.5
3/3/1975,8.25
3/10/1975,8
3/19/1975,7.75
3/25/1975,7.5
5/20/1975,7.25
6/9/1975,7
7/18/1975,7.25
7/25/1975,7.5
8/11/1975,7.75
9/15/1975,8
10/27/1975,7.75
11/4/1975,7.5
12/1/1975,7.25
1/12/1976,7
1/21/1976,6.75
6/1/1976,7
6/4/1976,7.25
8/2/1976,7
10/1/1976,6.75
10/29/1976,6.5
12/10/1976,6.25
5/13/1977,6.5
5/27/1977,6.75
8/22/1977,7
9/16/1977,7.25
10/7/1977,7.5
10/24/1977,7.75
1/10/1978,8
5/5/1978,8.25
5/26/1978,8.5
6/16/1978,8.75
6/30/1978,9
9/1/1978,9.25
9/15/1978,9.5
9/28/1978,9.75
10/13/1978,10
10/27/1978,10.25
11/1/1978,10.5
11/6/1978,10.75
11/17/1978,11
11/24/1978,11.5
12/26/1978,11.75
6/19/1979,11.5
7/27/1979,11.75
8/16/1979,12
8/28/1979,12.25
9/7/1979,12.75
9/14/1979,13
9/20/1979,13.25
9/28/1979,13.5
10/9/1979,14.5
10/24/1979,15
11/1/1979,15.25
11/9/1979,15.5
11/16/1979,15.75
11/30/1979,15.5
12/7/1979,15.25
2/19/1980,15.75
2/22/1980,16.5
