,2000-1,2000-2,2000-3,2000-4,2000-5,2000-6,2000-7,2000-8,2000-9,2000-10,2000-11,2000-12,2001-1,2001-2,2001-3,2001-4,2001-5,2001-6,2001-7,2001-8,2001-9,2001-10,2001-11,2001-12,2002-1,2002-2,2002-3,2002-4,2002-5,2002-6,2002-7,2002-8,2002-9,2002-10,2002-11,2002-12,2003-1,2003-2,2003-3,2003-4,2003-5,2003-6,2003-7,2003-8,2003-9,2003-10,2003-11,2003-12,2004-1,2004-2,2004-3,2004-4,2004-5,2004-6,2004-7,2004-8,2004-9,2004-10,2004-11,2004-12,2005-1,2005-2,2005-3,2005-4,2005-5,2005-6,2005-7,2005-8,2005-9,2005-10,2005-11,2005-12,2006-1,2006-2,2006-3,2006-4,2006-5,2006-6,2006-7,2006-8,2006-9,2006-10,2006-11,2006-12,2007-1,2007-2,2007-3,2007-4,2007-5,2007-6,2007-7,2007-8,2007-9,2007-10,2007-11,2007-12,2008-1,2008-2,2008-3,2008-4,2008-5,2008-6,2008-7,2008-8,2008-9,2008-10,2008-11,2008-12,2009-1,2009-2,2009-3,2009-4,2009-5,2009-6,2009-7,2009-8,2009-9,2009-10,2009-11,2009-12,2010-1,2010-2,2010-3,2010-4,2010-5,2010-6,2010-7,2010-8,2010-9,2010-10,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,2021-1,2021-2,2021-3,2021-4,2021-5,2021-6,2021-7,2021-8,2021-9,2021-10,2021-11,2021-12,2022-1,2022-2,2022-3,2022-4,2022-5,2022-6,2022-7,2022-8,2022-9,2022-10,2022-12
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.747,99.705,100.0,99.74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.701,100.0,100.0,100.0,99.776,100.0,100.0,100.0,100.0,100.0,99.687,100.0,100.0,99.696,99.762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.711,100.0,99.726,100.0,100.0,99.743,100.0,100.0,99.711,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.587,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.695,100.0,100.0,100.0,100.0,99.634,100.0,100.0,100.0,100.0,100.0,100.0,99.647,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.708,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.669,99.494,100.0,99.827,99.823,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.811,100.0,99.817,99.827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.816,100.0,99.725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.713,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.833,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.804,100.0,100.0,99.802,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.796,98.077,99.561,99.888,100.0,100.0,99.909,99.917,100.0,99.941,99.866,100.0,100.0,99.818,100.0,100.0,99.855,99.849,100.0,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,100.0,100.0,100.0,100.0,99.732,100.0,99.742,99.738,100.0,99.747,99.41,100.0,99.74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.731,100.0,100.0,100.0,99.701,100.0,100.0,100.0,99.776,99.808,100.0,100.0,99.721,100.0,99.687,100.0,100.0,99.696,99.762,100.0,100.0,99.723,100.0,100.0,100.0,100.0,100.0,100.0,99.718,100.0,100.0,100.0,100.0,100.0,99.77,99.751,100.0,100.0,100.0,100.0,99.772,100.0,100.0,100.0,99.711,100.0,99.726,100.0,100.0,99.743,99.671,99.639,99.422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.644,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.636,99.587,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.71,99.695,100.0,100.0,100.0,100.0,99.634,99.444,100.0,100.0,100.0,100.0,100.0,99.647,100.0,100.0,99.697,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.598,99.738,100.0,100.0,99.708,100.0,99.725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.536,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.669,99.494,100.0,99.654,99.646,100.0,99.786,100.0,99.774,99.771,100.0,100.0,100.0,100.0,100.0,99.433,100.0,99.817,99.827,100.0,100.0,100.0,99.853,100.0,100.0,100.0,100.0,99.805,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.816,99.716,99.725,100.0,100.0,100.0,100.0,100.0,99.863,99.834,99.713,100.0,99.679,99.864,100.0,100.0,99.669,100.0,99.813,100.0,99.837,99.817,99.833,100.0,99.822,99.841,100.0,100.0,99.802,100.0,100.0,100.0,99.812,100.0,99.638,100.0,99.804,99.786,100.0,99.802,100.0,100.0,100.0,100.0,100.0,100.0,99.694,100.0,100.0,100.0,100.0,100.0,100.0,99.591,97.436,99.561,99.441,100.0,100.0,99.909,99.917,100.0,99.941,99.866,99.827,100.0,99.818,100.0,100.0,99.855,99.697,100.0,100.0,100.0,100.0,100.0,100.0
3,99.774,100.0,100.0,100.0,99.79,100.0,99.196,100.0,99.483,99.476,100.0,98.99,99.41,99.283,99.74,100.0,100.0,100.0,99.713,100.0,100.0,99.74,99.731,100.0,100.0,100.0,99.701,100.0,100.0,100.0,99.552,99.808,100.0,100.0,99.721,99.596,99.687,99.691,100.0,99.696,99.287,100.0,100.0,99.723,99.784,99.798,100.0,99.819,100.0,100.0,99.718,100.0,100.0,99.801,100.0,100.0,99.309,99.751,100.0,99.601,100.0,100.0,99.772,100.0,100.0,100.0,99.711,100.0,99.452,100.0,100.0,99.743,99.671,99.639,99.422,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.644,100.0,100.0,100.0,100.0,99.602,100.0,100.0,100.0,99.636,99.587,100.0,100.0,100.0,100.0,99.543,100.0,100.0,100.0,99.71,99.695,100.0,100.0,100.0,100.0,99.634,99.444,100.0,100.0,100.0,100.0,100.0,99.647,100.0,100.0,99.697,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.679,99.635,100.0,100.0,100.0,100.0,100.0,99.598,99.475,99.435,100.0,99.123,100.0,99.725,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.304,99.785,99.491,99.754,99.728,100.0,100.0,100.0,100.0,99.669,99.494,100.0,99.481,99.646,100.0,99.145,100.0,99.549,99.771,100.0,100.0,100.0,100.0,100.0,99.433,100.0,99.817,99.827,99.841,100.0,100.0,99.853,100.0,100.0,99.847,99.642,99.61,99.708,99.674,100.0,99.849,99.843,99.811,100.0,99.808,100.0,100.0,99.832,99.848,100.0,99.816,99.716,99.587,99.828,99.524,100.0,99.658,99.819,99.863,99.503,99.569,100.0,99.679,99.864,99.705,99.839,99.503,99.868,99.813,100.0,99.837,99.634,99.499,99.849,99.644,99.841,99.821,99.833,99.605,99.192,100.0,99.773,99.812,100.0,99.638,100.0,99.804,99.786,100.0,99.802,100.0,99.832,99.732,100.0,100.0,100.0,99.694,99.773,100.0,100.0,100.0,100.0,100.0,99.591,96.795,99.561,99.217,100.0,99.888,99.909,99.917,100.0,99.941,99.866,99.653,99.871,99.453,100.0,100.0,99.855,99.697,100.0,100.0,100.0,100.0,100.0,100.0
4,99.549,99.696,99.559,100.0,99.79,99.402,99.196,100.0,99.225,99.215,99.385,98.99,99.41,99.283,99.74,99.67,100.0,100.0,99.713,100.0,100.0,99.74,99.731,100.0,100.0,100.0,99.401,100.0,100.0,100.0,99.552,99.808,100.0,100.0,99.721,99.596,99.687,99.691,100.0,99.696,99.287,100.0,100.0,99.723,99.784,99.798,100.0,99.819,100.0,99.669,99.435,100.0,99.742,99.801,100.0,99.596,99.309,99.502,99.743,99.601,99.44,99.413,99.544,99.749,100.0,100.0,99.711,100.0,99.452,100.0,99.742,99.743,99.013,99.278,99.422,100.0,100.0,99.718,100.0,100.0,99.702,99.652,99.288,100.0,99.206,100.0,100.0,99.203,100.0,100.0,100.0,99.636,99.587,100.0,100.0,99.606,100.0,99.087,100.0,100.0,100.0,99.42,99.695,100.0,100.0,100.0,100.0,99.634,99.444,100.0,100.0,99.39,100.0,100.0,99.647,99.648,99.706,99.697,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.679,99.635,99.692,100.0,100.0,100.0,100.0,99.598,99.475,99.435,100.0,99.123,100.0,99.725,99.686,99.705,100.0,100.0,99.353,100.0,100.0,99.304,99.785,99.491,99.263,99.728,100.0,99.448,99.823,99.644,99.338,99.494,99.802,99.481,99.646,99.78,99.145,100.0,99.549,99.771,100.0,100.0,100.0,100.0,100.0,99.433,100.0,99.817,99.827,99.841,100.0,100.0,99.853,100.0,99.798,99.542,99.642,99.61,99.708,99.674,100.0,99.849,99.843,99.811,99.877,99.808,100.0,100.0,99.832,99.848,100.0,99.816,99.716,99.45,99.828,99.365,99.875,99.658,99.819,99.59,99.503,99.569,99.864,99.679,99.864,99.705,99.839,99.338,99.868,99.626,100.0,99.837,99.634,99.499,99.849,99.644,99.841,99.643,99.833,99.605,99.192,100.0,99.773,99.812,100.0,99.638,100.0,99.804,99.786,100.0,99.802,99.772,99.665,99.732,100.0,100.0,100.0,99.694,99.773,100.0,100.0,100.0,100.0,100.0,99.591,96.474,99.561,99.105,100.0,99.888,99.909,99.917,99.92,99.883,99.733,99.653,99.741,99.453,100.0,100.0,99.855,99.697,100.0,100.0,100.0,100.0,100.0,
5,99.549,99.696,99.119,99.282,99.79,99.402,98.66,99.559,99.225,99.215,99.385,98.232,99.41,99.283,99.481,99.67,99.703,99.71,99.713,100.0,99.765,99.74,99.194,100.0,100.0,100.0,99.102,100.0,99.732,99.802,99.552,99.615,99.767,99.535,99.721,99.192,99.687,99.691,100.0,99.696,99.287,99.757,100.0,99.446,99.784,99.596,100.0,99.278,100.0,99.669,99.153,100.0,99.742,99.602,99.523,98.99,99.309,98.756,98.972,99.202,99.44,99.413,99.089,99.749,99.738,100.0,99.711,100.0,99.452,100.0,99.227,99.486,99.013,99.278,99.133,100.0,99.674,99.718,100.0,99.667,99.702,99.303,99.288,100.0,99.206,99.55,100.0,99.203,99.338,100.0,100.0,98.909,99.587,100.0,100.0,99.606,100.0,98.174,100.0,99.617,100.0,99.13,99.695,99.668,99.639,100.0,99.565,99.634,99.444,100.0,100.0,99.39,100.0,100.0,99.647,99.648,99.412,99.697,100.0,100.0,100.0,100.0,99.717,99.675,100.0,100.0,100.0,99.679,99.27,99.692,100.0,100.0,100.0,99.749,99.598,99.475,99.435,100.0,99.123,100.0,99.725,99.686,99.705,100.0,100.0,99.353,99.746,100.0,99.304,99.57,99.237,99.263,99.728,99.736,99.448,99.823,99.644,99.338,99.494,99.603,99.481,99.646,99.559,99.145,100.0,99.323,99.771,100.0,100.0,100.0,100.0,100.0,99.433,100.0,99.633,99.827,99.841,99.834,100.0,99.853,100.0,99.595,99.542,99.642,99.61,99.708,99.674,100.0,99.548,99.687,99.623,99.631,99.808,100.0,100.0,99.832,99.848,100.0,99.816,99.573,99.45,99.828,99.206,99.875,99.658,99.639,99.59,99.338,99.425,99.728,99.518,99.729,99.557,99.678,99.338,99.605,99.626,100.0,99.837,99.269,99.332,99.849,99.466,99.522,99.643,99.666,99.605,98.708,100.0,99.32,99.624,100.0,99.275,100.0,99.608,99.572,100.0,99.802,99.772,99.497,99.732,100.0,100.0,99.556,99.694,99.773,100.0,99.812,100.0,100.0,100.0,99.591,96.474,99.561,99.105,100.0,99.776,99.909,99.833,99.761,99.766,99.733,99.653,99.741,99.453,100.0,99.853,99.855,99.697,100.0,100.0,100.0,100.0,100.0,
6,99.549,99.392,99.119,99.043,99.58,99.402,97.587,99.339,98.45,99.215,98.769,98.232,99.41,98.566,99.481,99.67,99.703,99.71,99.425,100.0,99.765,99.74,99.194,100.0,99.744,100.0,99.102,100.0,99.732,99.802,99.327,99.038,99.535,99.535,99.721,99.192,99.687,99.383,99.73,99.696,99.287,99.515,99.756,99.169,99.567,99.596,100.0,99.278,98.997,99.669,99.153,99.697,99.742,99.602,99.523,98.99,98.848,98.756,98.972,99.202,99.16,99.12,98.861,99.749,99.738,99.575,99.422,100.0,99.178,100.0,99.227,99.486,98.684,99.278,99.133,100.0,99.674,99.437,99.672,99.667,99.405,99.303,98.932,100.0,99.206,98.649,100.0,99.203,99.338,99.656,100.0,98.909,99.587,100.0,99.559,99.606,100.0,98.174,100.0,99.617,100.0,99.13,99.695,99.668,99.639,100.0,99.565,99.634,99.444,100.0,100.0,99.39,100.0,100.0,99.647,99.296,99.412,99.394,100.0,100.0,99.618,100.0,99.717,99.675,100.0,100.0,100.0,99.679,99.27,99.692,100.0,100.0,100.0,99.749,99.598,99.475,99.435,100.0,99.123,99.533,99.725,99.686,99.705,100.0,100.0,99.353,99.746,100.0,99.072,99.57,99.237,99.263,99.728,99.736,99.448,99.645,99.644,99.338,99.494,99.603,99.308,99.646,99.559,98.718,100.0,99.097,99.541,100.0,99.751,100.0,100.0,100.0,99.433,100.0,99.633,99.653,99.841,99.834,99.796,99.706,99.771,99.595,99.542,99.462,99.61,99.708,99.511,100.0,99.548,99.53,99.623,99.509,99.808,100.0,100.0,99.832,99.848,99.733,99.632,99.431,99.312,99.828,99.206,99.875,99.658,99.639,99.316,99.172,99.425,99.728,99.037,99.729,99.557,99.678,99.007,99.605,99.439,100.0,99.837,99.269,99.332,99.849,99.466,99.522,99.464,99.666,99.407,98.708,100.0,99.32,99.624,100.0,99.275,100.0,99.608,99.572,100.0,99.802,99.772,99.497,99.464,100.0,100.0,99.556,99.694,99.773,99.77,99.812,100.0,100.0,100.0,99.591,96.474,99.561,99.105,99.894,99.664,99.728,99.75,99.602,99.649,99.465,99.307,99.741,99.088,100.0,99.56,99.855,99.697,100.0,100.0,100.0,100.0,,
7,98.871,99.088,98.678,98.325,99.37,99.004,97.587,98.899,97.933,97.906,98.154,97.475,99.115,98.208,99.221,99.67,99.703,99.42,99.425,99.355,99.765,99.481,98.925,99.747,99.488,99.654,98.802,99.72,99.196,99.406,99.327,98.654,99.535,99.302,99.164,99.192,99.373,99.383,99.189,99.392,99.05,99.515,99.756,98.061,99.567,99.192,100.0,99.278,98.328,99.007,98.87,99.697,99.742,99.205,99.523,98.384,98.848,98.507,98.715,99.002,99.16,99.12,98.405,99.497,99.215,98.938,99.422,99.758,99.178,99.708,98.969,98.458,97.368,98.917,99.133,100.0,99.349,98.873,99.672,98.333,99.107,98.258,98.577,100.0,98.016,98.198,98.955,99.203,99.338,99.313,100.0,98.182,99.174,100.0,99.559,99.606,100.0,98.174,100.0,99.617,100.0,98.841,99.085,99.003,99.639,100.0,99.13,99.267,98.889,100.0,100.0,99.39,100.0,100.0,99.647,98.944,99.412,99.394,100.0,100.0,99.618,100.0,99.717,99.675,100.0,99.72,100.0,99.679,99.27,99.385,99.728,100.0,100.0,99.749,99.598,99.475,99.435,99.772,99.123,99.533,99.725,99.686,99.705,100.0,100.0,99.353,99.746,100.0,99.072,99.57,99.237,99.263,99.728,99.736,99.448,99.645,99.644,99.338,99.494,99.603,99.308,99.292,99.559,98.718,100.0,98.871,99.312,100.0,99.751,100.0,100.0,100.0,99.433,100.0,99.633,99.653,99.841,99.834,99.592,99.559,99.771,99.595,99.389,99.462,99.61,99.561,99.349,99.84,99.548,99.53,99.623,99.509,99.808,100.0,100.0,99.664,99.848,99.599,99.632,99.431,99.312,99.655,99.206,99.749,99.487,99.458,99.042,99.007,99.282,99.321,99.037,99.458,99.409,99.356,99.007,99.474,99.439,100.0,99.512,99.269,99.332,99.849,99.288,99.362,99.464,99.499,99.407,98.708,99.691,99.093,99.436,100.0,98.913,100.0,99.608,99.358,100.0,99.603,99.772,99.497,99.464,100.0,99.749,99.556,99.694,99.546,99.77,99.435,99.697,99.747,100.0,99.387,96.474,99.561,98.77,99.681,99.104,99.728,99.666,99.443,99.473,99.465,99.307,99.483,98.905,100.0,99.56,99.855,99.697,100.0,100.0,100.0,,,
8,98.871,99.088,98.678,98.086,98.95,98.406,96.515,98.899,97.158,97.906,96.923,97.222,97.935,97.491,99.221,99.34,99.703,99.42,99.138,99.355,99.765,99.221,98.656,99.495,99.488,99.654,98.802,99.72,98.391,99.208,98.206,98.654,99.302,99.302,99.164,98.586,99.373,98.765,99.189,98.784,98.812,99.515,99.512,98.061,99.567,99.192,100.0,98.917,98.328,99.007,98.87,99.697,99.483,99.006,99.045,98.384,98.618,98.507,98.458,98.603,99.16,99.12,98.405,99.497,98.953,98.938,98.555,99.758,99.178,99.708,98.969,97.943,97.368,97.473,98.844,99.286,99.023,98.592,99.344,98.0,98.81,98.258,97.865,99.288,97.619,98.198,98.955,98.805,99.338,99.313,99.576,98.182,99.174,99.087,99.119,99.606,100.0,97.717,100.0,99.617,100.0,98.841,99.085,99.003,99.278,100.0,99.13,99.267,98.889,100.0,100.0,98.78,100.0,99.639,99.293,98.944,99.412,99.394,99.639,100.0,99.618,99.592,99.717,99.675,99.716,99.72,100.0,99.679,99.27,99.385,99.728,99.826,100.0,99.749,99.598,99.475,99.435,99.544,99.123,99.533,99.725,99.686,99.705,100.0,99.308,99.353,99.746,99.699,98.84,99.57,99.237,99.017,99.728,99.736,99.171,99.468,99.644,99.338,99.494,99.405,99.308,99.115,99.339,98.718,99.809,98.871,99.312,99.84,99.502,100.0,99.798,99.79,99.244,99.848,99.266,99.653,99.841,99.668,99.388,99.413,99.771,99.393,99.389,99.462,99.61,99.415,99.023,99.84,99.397,99.53,99.623,99.509,99.808,100.0,100.0,99.664,99.848,99.465,99.632,99.289,99.175,99.483,99.048,99.749,99.145,99.458,98.906,99.007,98.994,99.321,98.716,99.458,99.114,99.356,99.007,99.474,99.439,100.0,99.512,99.269,98.998,99.849,99.288,99.362,99.464,99.499,99.407,98.546,99.383,99.093,99.248,99.793,98.37,100.0,99.412,99.358,100.0,99.603,99.544,99.162,99.196,100.0,99.749,99.111,99.388,99.546,99.77,99.435,99.395,99.747,100.0,99.387,96.474,99.452,98.658,99.681,98.768,99.457,99.583,99.363,99.473,99.198,98.44,99.224,98.905,100.0,99.56,99.855,99.697,100.0,100.0,,,,
9,97.517,98.48,97.577,97.368,98.529,97.61,96.515,97.797,96.124,97.644,96.615,96.97,97.935,97.133,98.701,98.68,99.703,99.42,99.138,99.032,99.765,98.961,98.387,99.495,99.488,99.654,98.503,99.72,98.391,98.812,97.982,98.462,98.837,99.302,99.164,98.586,99.06,98.457,99.189,98.176,98.812,99.515,99.268,98.061,99.351,98.586,99.529,98.917,97.993,98.675,98.87,99.091,99.225,99.006,99.045,97.98,98.157,98.01,98.201,98.603,98.88,97.947,97.722,99.246,98.953,98.726,98.555,99.031,98.356,99.708,98.969,97.943,96.053,97.473,98.266,98.929,99.023,98.31,99.344,97.0,98.512,98.258,97.865,98.932,97.222,98.198,98.258,97.61,99.338,98.625,99.153,97.455,98.76,99.087,98.238,99.606,99.565,97.717,100.0,98.084,100.0,97.681,98.78,98.339,99.278,99.609,98.261,98.901,98.889,100.0,100.0,98.78,100.0,99.278,99.293,98.944,99.412,99.091,99.639,100.0,99.237,99.184,99.717,99.351,99.716,99.72,100.0,99.679,98.905,99.077,99.455,99.479,100.0,99.499,99.398,99.475,99.435,99.544,98.83,99.533,99.725,99.057,99.41,99.77,99.308,99.353,99.746,99.699,98.84,99.57,99.237,99.017,99.455,99.472,99.171,99.468,99.644,99.338,99.241,99.405,99.308,99.115,99.339,98.504,99.618,98.871,99.312,99.679,99.502,100.0,99.798,99.79,99.244,99.848,99.266,99.307,99.841,99.337,99.184,99.413,99.771,99.19,99.237,98.925,99.61,98.83,98.86,99.84,99.246,99.53,99.623,99.386,99.617,99.814,99.698,99.664,99.697,99.332,99.632,99.147,99.175,99.31,98.571,99.247,98.974,99.278,98.769,99.007,98.994,99.185,98.716,99.322,99.114,99.195,98.841,99.474,99.439,100.0,99.512,99.269,98.998,99.849,99.288,99.043,99.286,99.332,99.209,98.546,99.383,99.093,99.06,99.587,98.37,99.599,99.412,99.358,99.791,99.405,99.544,99.162,99.196,100.0,99.749,99.111,99.388,99.546,99.77,99.247,99.244,99.747,100.0,99.387,96.154,99.342,98.322,99.468,98.32,99.094,99.333,99.204,99.18,99.064,98.44,99.224,98.905,100.0,99.56,99.855,99.697,100.0,,,,,
10,97.065,97.872,97.137,97.368,96.849,97.61,95.442,97.577,95.866,96.597,96.308,96.212,97.345,96.774,98.182,98.68,98.813,99.13,98.563,99.032,99.529,98.961,97.849,99.242,99.233,99.308,97.305,99.72,98.123,98.614,97.534,98.462,98.837,99.302,98.886,98.586,99.06,98.457,99.189,98.176,98.575,99.029,98.537,98.061,99.134,97.778,99.294,98.556,97.993,98.675,98.87,99.091,98.966,98.807,98.568,97.98,97.465,96.269,97.943,97.206,98.88,97.947,97.267,98.995,98.691,98.514,97.688,99.031,97.534,98.538,98.454,97.686,96.053,97.473,97.977,98.929,98.371,97.183,98.361,96.667,97.619,97.561,97.153,97.865,97.222,98.198,97.909,97.61,99.007,98.625,98.729,97.455,98.347,99.087,97.797,99.213,99.565,97.26,100.0,96.935,100.0,96.812,97.866,98.339,98.195,99.609,97.826,98.901,98.889,99.367,99.432,98.78,99.029,99.278,99.293,98.944,99.412,99.091,99.639,100.0,99.237,99.184,99.717,99.351,99.716,99.72,100.0,99.679,98.905,99.077,99.455,99.306,99.502,99.499,99.398,99.213,99.435,99.544,98.83,99.533,99.449,99.057,99.115,99.77,99.308,98.706,99.746,99.699,98.84,99.57,98.982,99.017,99.455,99.472,98.895,99.468,99.644,99.338,98.987,99.405,98.962,98.938,99.119,98.291,99.426,98.871,99.083,99.679,99.502,100.0,99.798,99.79,99.244,99.697,99.083,99.307,99.841,99.337,99.184,99.413,99.771,99.19,99.237,98.925,99.61,98.83,98.534,99.84,98.944,99.216,99.623,99.386,99.234,99.628,99.548,99.664,99.697,99.198,99.448,99.004,99.037,99.31,98.254,99.247,98.803,99.278,98.632,99.007,98.851,98.913,98.395,99.187,98.966,99.195,98.51,98.947,99.439,100.0,99.187,99.269,98.497,99.849,99.11,99.043,98.929,99.332,98.814,98.384,99.383,99.093,98.308,99.587,98.37,99.599,99.412,99.358,99.791,99.405,99.544,98.995,99.196,100.0,99.497,99.111,99.083,99.546,99.54,98.87,99.244,99.747,100.0,99.182,96.154,98.904,98.21,99.361,97.648,98.46,99.166,98.965,98.946,99.064,98.44,99.224,98.905,100.0,99.56,99.855,99.697,,,,,,
